Unidad Territorial;Tasa total;Dimension total;0-39;40-49;50-59;60-69;+70;Mujer;Hombre;Cerebro;Cervix;Colorectal;Esofago;Estómago;Glándulas salivares;Hígado;Hipofaringe;Labio, cavidad oral;Laringe;Leucemia;Linfoma Hodgkin;Linfoma No-Hodgkin;Mama;Melanoma de piel;Mesotelioma;Mieloma Multiple;Nasofaringe;Orofaringe;Otros;Otros de piel;Ovario;Páncreas;Pene;Próstata;Pulmón;Riñón;Sarcoma Kaposi;Testículo;Tiroides;Utero;Vagina;Vejiga;Vesicula Biliar;Vulva
"León";"332,73855118152073";"1503";"9";"22";"108";"306";"1058";"612";"891";"39,7911608191485";"11";"230";"19";"92";"2,58139404825802";"67";"4,32211929502011";"15,8195108441926";"18";"43";"2,06367683200161";"33,2663605941662";"81";"7";"5,44941452493347";"22,6699625738322";"2,25311801138765";"7,12944220606497";"99,9033033185892";"14,3546548737872";"39";"98";"1,38095238095238";"89";"290";"39,4524347472167";"0,352980001391173";"0,253968253968254";"4,99331063834248";"20,814891516098";"0,426992547682203";"75";"24,4359905388779";"2,2843614340892"
"Lugo";"348,4523623291096";"1136";"6";"20";"80";"215";"815";"475";"661";"37,3429504732928";"10";"177";"17";"64";"1,93106333603636";"50";"3,43253489644519";"15,5829198939251";"12";"31";"1,88493706508547";"30,8689462265422";"66";"7";"3,46722436805359";"21,2461167083723";"2,05448786943815";"5,65228451495576";"120,734327156023";"3,35473778403465";"20";"70";"1,85396825396825";"65";"182";"29,6991400084964";"0,0802671926411715";"1,19365079365079";"8,47886081060777";"15,8986714657215";"1,13815363380581";"37";"17,4701107311902";"4,63464681771318"
"Ciudad Real";"261,47452957930614";"1288";"9";"26";"118";"240";"895";"485";"803";"42,2972469635628";"3";"198";"11";"64";"2,53642653256974";"59";"2,28948304371092";"12,8996095600166";"16";"39";"1,90266159702073";"24,6973570363213";"79";"5";"5,13875688231854";"16,399981366658";"1,57925638337047";"4,54611749286291";"84,7169414258146";"7,18600105598831";"22";"90";"2,43464052287582";"90";"270";"33,0889619938007";"0,146981797512697";"0,291666666666667";"3,84530214424951";"14,2443322219069";"0,565217391304348";"63";"15,9428672273418";"2,25019069412662"
"Palmas, Las";"205,2210867324922";"2316";"26";"79";"295";"545";"1371";"948";"1368";"64,3763592316953";"16";"274";"43";"88";"3,45745051005321";"110";"8,36212141297192";"28,1537972595025";"35";"48";"5,22578697652298";"67,4747308820611";"151";"21";"7,92194017216268";"41,2994821414159";"5,41806544835844";"15,1015100679965";"231,511711004555";"16,4663776042029";"35";"164";"2,18101733447002";"108";"535";"41,6045492102768";"0,472099708748704";"0,48792270531401";"12,4273145624687";"25,2953748324183";"2,13876367800656";"70";"30,8474258869653";"7,77619936983347"
"Segovia";"254,4529262086514";"391";"2";"7";"19";"77";"286";"138";"253";"11,1";"0";"58";"11";"20";"0,307958346001824";"17";"0,361209080774298";"2,25954444106618";"3";"15";"0,406358174167582";"7,47148340009714";"21";"5";"1,05694944053373";"5,12215842573528";"0,356481199959461";"0,589480085132259";"26,4052347782909";"4,1706485485683";"4";"34";"0";"28";"66";"9,06070567609029";"0,0967760173067759";"0";"1,10740740740741";"9,84569633879182";"0";"25";"4,28190864007679";"0"
"Asturias";"339,29898635292625";"3433";"23";"72";"323";"683";"2332";"1493";"1940";"86,3528657343269";"26";"488";"72";"133";"7,18631393289561";"157";"7,88461503081976";"39,4721456603431";"25";"94";"6,46050323815645";"100,193098323113";"201";"32";"13,531430453828";"68,3463984387304";"5,90292967514914";"14,9352522125319";"240,86239815368";"24,9037879524297";"84";"253";"3,4447895100069";"202";"732";"88,6108123312442";"0,681330674598641";"1,14665286404417";"9,13446758044983";"37,1920597172718";"2,34550046405369";"132";"33,0072945188562";"10,4053535334704"
"Cáceres";"294,6929597133161";"1148";"11";"28";"98";"225";"786";"425";"723";"16,3741391941392";"7";"181";"17";"54";"1,67853179732765";"34";"2,02765157808242";"9,27195993620958";"9";"46";"1,44993461884989";"24,374386890338";"55";"6";"2,73289774230278";"16,1756784908121";"1,40274945061609";"3,76286650204171";"118,068822622857";"7,35880891951408";"20";"81";"2,65942028985507";"61";"235";"31,5325086237501";"0,144584990766645";"0,21195652173913";"3,57809523809524";"11,0891466610707";"1,2692745660137";"64";"15,7509815148551";"7,08560385076403"
"Ávila";"297,940298319036";"472";"5";"9";"32";"93";"333";"175";"297";"13";"0";"69";"7";"23";"0,674747984398605";"19";"1,23437179264799";"5,0057494498342";"8";"16";"1,11197215524167";"11,3572294314322";"27";"6";"1,0960552138246";"7,53079841332618";"0,540154948458987";"2,049837687109";"35,9860208257143";"5,18958388885268";"7";"35";"0";"35";"83";"13,1614678205001";"0,0967051790618325";"0";"0";"5,22146201885065";"0,441394093568007";"25";"5,09248710460836";"3,20996199257069"
"Albacete";"235,72700173884243";"911";"13";"29";"84";"181";"604";"326";"585";"31,5696153846154";"5";"153";"9";"43";"1,93611105644541";"49";"2,18742247512838";"9,12564035718575";"11";"26";"2,03838843670712";"26,896367120557";"55";"13";"4,00739911189474";"17,0652444427359";"1,63766120705964";"4,20270378910284";"65,5525907883643";"6,72610264544828";"21";"55";"0";"52";"163";"10,1341457451416";"0,101512601717505";"0";"4,00569444444444";"6,03260839679822";"1,26953817171208";"43";"12,5055814024498";"6,00567242249164"
"Ceuta";"161,64373720320413";"135";"4";"3";"22";"33";"73";"56";"79";"2,11929824561404";"2";"16";"2";"4";"0,198689203173508";"6";"0,617973762012094";"2,55794833992512";"0";"4";"0,15913177370606";"2,34344914527504";"9";"1";"0,822230248830778";"1,4974190810189";"0,393655503944834";"1,01176976472756";"16,1456163027644";"0,934453227931489";"0";"8";"0";"4";"38";"3,09710870810456";"0,0293148880105402";"0";"1,15789473684211";"0";"0,0879120879120879";"6";"1,12283827691018";"0,703296703296703"
"Huesca";"259,9614739770984";"583";"8";"14";"41";"122";"398";"227";"356";"15,2039136302294";"3";"92";"14";"31";"0,740836216454585";"24";"0,851841797565034";"3,36282755454862";"10";"15";"1,18547426509123";"12,7305059592073";"52";"7";"2,80458851166321";"8,08401977570148";"0,92434570807463";"1,75743088228946";"43,2348376381644";"2,97402396481189";"13";"46";"0";"30";"101";"13,2007507087356";"0,0767675161282032";"0,9";"2,19122807017544";"3,40542343372532";"0,319796145883102";"19";"10,1680762627243";"1,88331195882683"
