,Dimensión,Año,CCAA,Unidad Territorial,Tasa total,Dimension total,0-39,40-49,50-59,60-69,+70,Mujer,Hombre,Cerebro,Cervix,Colorectal,Esofago,Estómago,Glándulas salivares,Hígado,Hipofaringe,"Labio, cavidad oral",Laringe,Leucemia,Linfoma Hodgkin,Linfoma No-Hodgkin,Mama,Melanoma de piel,Mesotelioma,Mieloma Multiple,Nasofaringe,Orofaringe,Otros,Otros de piel,Ovario,Páncreas,Pene,Próstata,Pulmón,Riñón,Sarcoma Kaposi,Testículo,Tiroides,Utero,Vagina,Vejiga,Vesicula Biliar,Vulva
371,Prevalencia,2022,Andalucía,Sevilla,1675.54,32622,1312,2522,5641,8140,15005,14920,17701,523,245,4519,107,412,75,250,78,566,366,663,212,1022,5468,764,28,322,60,143,808,3360,407,229,63,5136,1389,977,36,194,795,998,16,2221,27,126
372,Prevalencia,2022,Aragón,Huesca,2061.64,4639,136,267,654,1102,2478,1924,2715,66,27,668,14,60,10,35,10,82,51,91,24,136,670,100,3,46,7,19,111,590,49,31,9,776,192,135,5,22,91,127,2,341,4,16
373,Prevalencia,2022,Aragón,Teruel,2179.87,2928,79,144,397,694,1612,1181,1747,40,16,426,9,38,6,22,6,52,32,57,14,84,405,62,2,29,4,12,70,392,29,19,6,497,120,84,3,12,54,77,1,220,2,10
374,Prevalencia,2022,Aragón,Zaragoza,1961.72,18949,596,1210,2790,4496,9854,8372,10576,281,124,2701,60,245,43,142,42,333,206,375,104,569,2955,421,16,190,31,78,458,2271,218,131,38,3048,785,553,20,92,402,557,9,1347,16,72
375,Prevalencia,2022,"Asturias, Principado de",Asturias,2320.74,23311,527,1272,3100,5873,12538,10364,12947,330,141,3371,73,304,52,173,51,411,252,446,106,684,3599,498,20,238,35,97,546,2861,266,162,46,3821,970,670,23,87,456,706,11,1681,20,89
376,Prevalencia,2022,"Balears, Illes","Balears, Illes",1622.82,19088,868,1565,3277,4747,8628,8487,10600,309,146,2628,63,240,44,147,47,331,217,388,133,603,3137,455,16,186,37,84,475,1957,234,133,38,3046,813,577,22,128,477,560,9,1306,15,72
377,Prevalencia,2022,Canarias,"Palmas, Las",1674.66,18900,785,1517,3665,4944,7987,8370,10529,307,145,2596,65,237,44,149,48,329,223,377,128,600,3147,450,16,184,37,87,464,1815,234,133,37,3055,830,578,21,120,479,562,9,1292,15,70
378,Prevalencia,2022,Canarias,Santa Cruz de Tenerife,1771.42,18560,716,1395,3282,4715,8450,8271,10289,292,137,2577,62,235,42,143,45,323,212,367,118,578,3051,433,16,183,34,82,452,1919,227,130,37,2987,799,557,20,108,448,555,9,1282,15,70
379,Prevalencia,2022,Cantabria,Cantabria,2065.73,12089,339,756,1747,3096,6148,5355,6733,178,78,1724,39,156,27,91,27,212,134,236,62,362,1895,265,10,122,19,51,288,1406,140,84,24,1978,509,353,12,53,254,361,6,861,10,46
380,Prevalencia,2022,Castilla y León,Burgos,2202.27,7805,199,417,1072,1906,4208,3242,4563,110,45,1130,25,102,17,59,17,138,87,151,38,227,1124,166,6,79,12,33,185,980,82,53,16,1334,326,227,8,32,149,216,3,578,6,28
381,Prevalencia,2022,Castilla y León,León,2424.87,10860,237,508,1401,2589,6122,4637,6222,147,61,1589,33,143,24,80,23,193,116,208,47,311,1576,227,9,111,15,43,254,1457,115,74,22,1801,442,308,11,38,196,308,5,806,9,40
382,Prevalencia,2022,Castilla y León,Palencia,2334.21,3686,86,173,491,957,1977,1542,2144,51,20,536,11,48,8,27,8,65,41,70,16,106,530,77,3,37,5,15,86,461,39,25,7,635,155,106,3,14,68,104,1,274,3,13
383,Prevalencia,2022,Castilla y León,Salamanca,2366.55,7705,178,355,1006,1751,4412,3263,4442,104,43,1126,23,101,17,56,16,136,82,148,34,220,1111,161,6,78,11,30,181,1049,81,52,16,1275,311,218,7,28,140,217,3,574,6,28
384,Prevalencia,2022,Castilla y León,Segovia,2109.88,3241,89,177,480,782,1711,1354,1887,46,19,468,10,42,7,24,7,57,36,63,16,95,470,70,2,32,5,13,77,410,34,22,6,542,135,94,3,14,63,89,1,238,2,11
385,Prevalencia,2022,Castilla y León,Soria,2295.83,2026,49,96,268,460,1151,812,1214,27,11,296,6,26,4,15,4,36,22,39,9,57,276,42,1,20,3,8,48,279,20,13,4,345,82,58,2,8,36,53,0,153,1,7
386,Prevalencia,2022,Castilla y León,Valladolid,2134.03,11047,289,658,1561,2634,5903,4781,6265,159,68,1584,35,143,24,83,24,193,121,215,55,326,1686,239,9,112,17,46,262,1331,124,76,22,1835,462,321,11,46,223,323,5,800,9,41
387,Prevalencia,2022,Castilla y León,Zamora,2661.52,4449,83,173,512,994,2685,1800,2649,57,22,660,13,59,9,32,9,79,47,84,17,123,597,90,3,46,6,17,103,641,43,29,9,763,179,125,4,14,72,119,2,342,4,15
388,Prevalencia,2022,Castilla y León,Ávila,2353.61,3705,85,173,486,877,2082,1493,2211,50,20,541,11,48,8,27,8,65,41,71,16,105,510,77,3,37,5,15,87,496,37,25,8,639,153,106,3,13,66,99,1,281,3,13
389,Prevalencia,2022,Castilla-La Mancha,Albacete,1882.43,7255,247,460,1166,1742,3639,3122,4133,109,47,1028,23,93,16,55,16,127,81,144,42,219,1116,162,6,72,12,30,176,857,82,49,14,1178,304,214,7,38,157,208,3,519,6,26
390,Prevalencia,2022,Castilla-La Mancha,Ciudad Real,1919.16,9413,315,563,1457,2312,4764,4119,5294,140,61,1339,30,121,21,71,21,165,104,187,53,283,1456,210,8,94,15,40,228,1115,108,65,19,1521,393,276,10,48,201,275,4,671,8,35
391,Prevalencia,2022,Castilla-La Mancha,Cuenca,2125.68,4148,119,214,593,951,2270,1716,2432,58,24,601,13,54,9,31,9,73,45,81,21,120,592,89,3,42,6,17,99,548,43,28,8,688,170,120,4,18,79,113,1,308,3,15
392,Prevalencia,2022,Castilla-La Mancha,Guadalajara,1668.04,4475,180,368,774,1095,2057,1923,2551,70,32,623,14,56,10,34,11,78,51,91,29,139,705,105,3,43,8,19,112,499,52,30,9,716,188,135,5,28,106,124,2,313,3,16
393,Prevalencia,2022,Castilla-La Mancha,Toledo,1755.1,12509,476,913,1984,3007,6128,5379,7129,192,86,1758,40,160,28,95,29,219,140,254,77,382,1939,286,10,123,22,53,309,1443,143,85,25,2029,523,372,14,72,282,351,6,886,10,46
394,Prevalencia,2022,Cataluña,Barcelona,1785.34,102137,3874,7388,15711,23959,51203,46192,55945,1576,728,14352,326,1305,233,768,233,1781,1108,2055,630,3134,16546,2347,87,1016,179,424,2510,11666,1230,707,202,16037,4226,3001,113,580,2341,3058,51,7085,88,397
395,Prevalencia,2022,Cataluña,Girona,1755.3,13907,528,997,2190,3499,6690,6013,7893,215,96,1950,46,177,31,107,33,243,158,281,86,427,2174,317,12,138,25,60,343,1534,162,96,28,2286,590,415,15,80,316,400,6,981,11,51
396,Prevalencia,2022,Cataluña,Lleida,1845.64,8136,282,546,1238,1979,4089,3465,4671,123,52,1156,26,105,18,62,19,144,91,163,48,247,1228,183,6,81,14,35,200,962,91,56,16,1333,341,242,9,45,174,228,3,582,6,29
397,Prevalencia,2022,Cataluña,Tarragona,1822.02,15108,535,1059,2295,3717,7500,6503,8604,230,102,2128,49,193,34,115,35,264,170,303,90,460,2341,341,13,150,26,65,369,1705,174,104,31,2495,638,449,16,82,335,434,7,1074,12,55
398,Prevalencia,2022,Ceuta,Ceuta,1367.38,1128,62,93,218,322,431,502,626,19,8,152,3,14,2,9,3,19,13,24,9,36,187,27,0,10,2,5,29,101,14,7,2,180,49,35,1,8,30,33,0,75,0,4
399,Prevalencia,2022,Comunitat Valenciana,Alicante/Alacant,1897.12,35994,1207,2359,5513,9055,17858,15466,20528,545,241,5071,118,461,81,276,85,626,408,714,207,1093,5595,803,31,361,61,157,868,3961,418,251,73,6040,1542,1068,39,185,792,1055,17,2573,30,130
400,Prevalencia,2022,Comunitat Valenciana,Castellón/Castelló,1862.38,10995,372,763,1719,2674,5465,4760,6235,167,74,1551,36,141,25,84,25,192,123,219,64,334,1715,247,9,109,19,47,267,1245,127,76,22,1804,464,326,12,57,243,318,5,781,9,40
401,Prevalencia,2022,Comunitat Valenciana,Valencia/València,1827.9,47582,1670,3367,7568,11722,23253,21353,26229,734,334,6687,155,608,108,363,111,831,528,951,284,1462,7694,1085,41,475,83,204,1161,5259,573,332,94,7603,2007,1410,52,257,1085,1434,23,3315,40,182
402,Prevalencia,2022,Extremadura,Badajoz,1895.26,12638,434,777,2011,3122,6291,5485,7153,190,83,1791,41,162,28,96,29,221,142,251,73,382,1956,282,10,126,21,54,306,1452,145,87,25,2074,534,373,13,65,274,366,6,901,10,47
403,Prevalencia,2022,Extremadura,Cáceres,2165.0,8387,228,428,1222,2086,4421,3556,4831,119,50,1212,26,109,19,63,18,148,93,163,42,246,1235,180,7,85,13,35,199,1052,91,57,17,1398,350,243,8,35,164,237,4,616,7,30
404,Prevalencia,2022,Galicia,"Coruña, A",2209.1,24711,634,1441,3297,5692,13645,10920,13790,350,154,3562,77,322,55,182,53,434,263,479,119,724,3798,533,20,251,37,99,584,3115,280,170,50,4009,1009,707,25,101,491,730,12,1782,22,94
405,Prevalencia,2022,Galicia,Lugo,2527.71,8185,173,370,959,1809,4872,3426,4759,108,44,1205,24,108,18,59,16,145,85,156,34,230,1150,169,6,84,11,31,190,1163,84,55,17,1364,326,229,8,28,141,225,4,617,7,30
406,Prevalencia,2022,Galicia,Ourense,2620.33,7965,156,339,864,1669,4936,3357,4607,103,42,1179,23,106,17,57,15,141,81,151,32,222,1115,162,6,82,10,29,184,1154,81,53,16,1325,314,221,8,25,133,222,3,602,7,29
407,Prevalencia,2022,Galicia,Pontevedra,2077.19,19582,553,1254,2737,4610,10425,8735,10846,286,127,2799,61,253,44,146,43,343,211,382,101,583,3074,430,16,198,31,80,467,2362,227,135,39,3158,808,567,20,88,408,584,9,1393,17,75
408,Prevalencia,2022,"Madrid, Comunidad de",Madrid,1731.77,116798,4663,8925,19099,27585,56524,54385,62412,1834,881,16261,371,1480,268,874,267,2023,1259,2354,742,3620,19708,2731,99,1152,208,486,2876,12903,1465,810,225,17849,4832,3429,129,675,2811,3598,60,7937,99,467
409,Prevalencia,2022,Melilla,Melilla,1255.13,1068,66,89,211,322,379,476,592,19,8,143,3,13,2,8,2,18,13,23,9,35,179,26,0,10,2,5,28,90,13,7,2,170,47,33,1,8,29,31,0,70,0,3
410,Prevalencia,2022,"Murcia, Región de",Murcia,1601.68,24528,1069,1937,4221,6031,11268,10893,13635,396,182,3394,81,310,56,189,59,426,277,506,168,771,3995,579,21,240,46,107,617,2594,298,170,49,3884,1039,740,28,160,598,720,12,1686,20,92
411,Prevalencia,2022,"Navarra, Comunidad Foral de",Navarra,1873.02,12429,417,817,1885,2976,6332,5379,7050,187,82,1763,40,160,28,94,28,218,138,249,71,375,1913,277,10,124,21,52,303,1449,142,85,25,2041,521,366,13,63,268,357,6,887,10,46
412,Prevalencia,2022,País Vasco,Araba/Álava,1983.18,6629,202,423,978,1597,3427,2870,3759,98,43,943,21,85,15,50,15,116,73,131,35,198,1021,146,5,66,10,28,159,776,75,45,13,1096,278,194,7,31,140,193,3,475,5,24
413,Prevalencia,2022,País Vasco,Bizkaia,2096.02,24080,661,1419,3478,5906,12614,10769,13310,351,153,3453,76,312,54,180,53,424,262,470,123,718,3773,526,20,244,38,100,575,2885,279,167,48,3886,1002,698,25,104,496,727,12,1715,21,92
414,Prevalencia,2022,País Vasco,Gipuzkoa,2044.52,14802,422,880,2101,3561,7837,6477,8324,216,93,2121,47,192,33,112,33,260,163,291,77,440,2272,322,12,150,23,62,355,1760,168,103,30,2443,619,431,15,66,303,436,7,1063,13,55
415,Prevalencia,2022,"Rioja, La","Rioja, La",1974.6,6308,195,401,917,1528,3265,2711,3597,93,40,899,20,81,14,47,14,110,70,125,34,188,959,139,5,63,10,26,152,757,70,43,13,1041,263,184,6,30,132,180,3,454,5,23
416,Mortalidad,2019,Andalucía,Almería,191.4,1372,25,65,178,299,805,503,869,36,12,204,13,62,1,51,3,13,18,39,3,47,81,15,6,31,2,6,162,6,11,61,2,71,296,23,0,0,4,12,0,50,21,2
417,Mortalidad,2019,Andalucía,Cádiz,221.02,2741,42,94,338,624,1643,1069,1672,75,14,392,50,116,4,130,7,26,39,64,5,72,183,31,12,50,5,12,289,15,52,183,2,118,528,58,0,1,7,35,1,119,28,8
418,Mortalidad,2019,Andalucía,Córdoba,217.25,1701,22,38,204,340,1097,631,1070,43,9,290,23,79,2,82,5,19,13,46,3,44,101,17,4,30,3,9,161,14,19,103,3,97,323,33,0,0,2,32,0,62,15,4
419,Mortalidad,2019,Andalucía,Granada,214.83,1965,27,49,214,416,1259,765,1200,62,4,284,25,81,2,98,3,14,19,56,4,59,111,22,9,40,2,6,203,14,41,139,1,96,396,37,0,0,7,27,0,65,21,4
420,Mortalidad,2019,Andalucía,Huelva,207.91,1085,17,37,124,251,656,401,684,34,9,145,7,46,2,56,3,14,11,36,2,23,50,5,4,14,2,5,95,6,15,70,0,59,263,28,0,0,3,10,0,47,8,3
421,Mortalidad,2019,Andalucía,Jaén,209.29,1326,15,42,165,255,849,513,813,38,3,226,13,55,1,49,3,12,25,41,2,35,95,18,3,24,2,6,129,7,24,90,2,72,229,29,0,0,1,14,0,50,12,3
422,Mortalidad,2019,Andalucía,Málaga,195.51,3249,45,119,402,736,1947,1264,1985,83,23,449,68,96,4,155,7,27,46,98,6,74,180,31,15,49,5,12,336,13,79,206,2,133,756,65,0,0,6,27,2,131,42,12
423,Mortalidad,2019,Andalucía,Sevilla,208.3,4046,59,163,505,871,2448,1546,2500,109,24,582,60,141,7,197,9,45,54,113,7,92,256,32,18,61,9,16,405,23,91,255,5,179,874,90,1,1,14,59,1,153,40,11
424,Mortalidad,2019,Aragón,Huesca,284.4,627,4,19,52,118,434,215,412,19,1,100,9,30,1,28,1,5,14,23,0,14,30,3,2,10,1,3,40,5,10,42,1,44,117,18,0,0,0,6,0,32,8,1
425,Mortalidad,2019,Aragón,Teruel,269.13,361,4,7,31,54,265,132,229,7,0,61,6,20,0,21,0,3,4,16,0,6,18,5,2,5,0,0,41,3,6,20,0,17,52,9,0,0,0,2,0,23,3,1
426,Mortalidad,2019,Aragón,Zaragoza,258.22,2491,17,70,244,475,1685,1007,1484,62,17,359,31,121,2,99,4,19,26,85,4,59,136,26,7,43,3,7,183,16,44,195,2,131,564,52,0,0,7,34,1,106,27,9
427,Mortalidad,2019,"Asturias, Principado de",Asturias,338.19,3459,25,76,310,732,2316,1417,2042,97,30,515,52,147,6,156,9,36,41,108,6,93,195,27,16,69,6,15,253,29,62,267,6,170,684,90,0,1,6,53,1,147,42,11
428,Mortalidad,2019,"Balears, Illes","Balears, Illes",193.4,2223,29,65,269,482,1378,904,1319,59,16,303,33,78,4,120,7,26,23,69,3,54,137,25,7,38,5,12,177,14,37,155,3,148,474,31,0,1,5,29,1,94,17,7
429,Mortalidad,2019,Canarias,"Palmas, Las",194.57,2180,27,91,285,508,1269,870,1310,61,26,247,43,85,5,100,9,32,30,64,3,53,150,26,5,37,6,14,209,12,35,155,2,113,469,32,0,0,8,24,0,82,28,2
430,Mortalidad,2019,Canarias,Santa Cruz de Tenerife,207.94,2148,17,69,290,489,1283,908,1240,68,10,273,63,74,5,115,7,28,32,78,4,57,149,20,8,38,5,12,206,13,39,156,3,85,420,33,0,2,6,27,1,75,18,9
431,Mortalidad,2019,Cantabria,Cantabria,281.55,1636,15,35,195,346,1045,665,971,44,10,195,33,69,2,78,5,20,28,39,2,40,105,14,5,28,3,8,138,13,33,110,0,74,340,40,0,0,4,28,0,88,24,4
432,Mortalidad,2019,Castilla y León,Burgos,270.9,967,5,19,68,193,682,355,612,19,2,156,17,77,1,57,3,10,10,26,1,22,53,7,3,17,1,5,70,5,14,59,0,57,162,27,0,0,1,12,0,48,13,3
433,Mortalidad,2019,Castilla y León,León,335.0,1541,5,42,134,271,1089,585,956,36,12,227,27,87,1,53,2,9,14,53,2,38,81,18,9,30,1,4,121,7,21,90,1,120,326,34,0,0,2,22,0,59,19,4
434,Mortalidad,2019,Castilla y León,Palencia,318.05,512,5,5,46,104,352,204,308,10,2,83,8,27,1,25,1,5,8,9,1,13,31,5,1,9,0,1,47,1,10,36,0,25,104,9,0,1,0,1,0,28,2,0
435,Mortalidad,2019,Castilla y León,Salamanca,328.37,1084,8,15,69,160,832,429,655,35,1,189,14,59,1,47,1,9,11,44,1,25,69,9,4,19,1,2,87,12,20,75,5,72,176,20,0,0,2,12,0,40,10,1
436,Mortalidad,2019,Castilla y León,Segovia,278.2,426,3,8,36,67,312,166,260,15,2,78,7,19,1,22,1,6,0,7,0,11,23,2,1,8,1,2,46,2,3,16,1,27,82,8,0,0,1,5,0,14,7,0
437,Mortalidad,2019,Castilla y León,Soria,311.39,276,0,11,21,47,197,114,162,5,1,36,4,20,0,8,0,3,8,5,0,9,24,2,1,6,0,0,20,1,8,14,0,17,45,10,0,0,0,3,0,15,4,0
438,Mortalidad,2019,Castilla y León,Valladolid,278.13,1445,5,38,121,291,990,546,899,40,13,205,24,79,1,61,2,8,18,58,1,23,77,8,6,18,1,3,135,8,29,86,2,69,312,34,0,0,7,14,1,70,14,6
439,Mortalidad,2019,Castilla y León,Zamora,358.18,618,2,20,36,106,454,217,401,15,1,105,8,34,1,20,1,5,3,21,1,18,32,5,1,13,1,2,42,3,15,37,0,40,113,13,0,0,2,6,0,43,8,1
440,Mortalidad,2019,Castilla y León,Ávila,290.54,458,3,14,32,64,345,169,289,13,2,69,9,23,0,20,0,4,7,20,0,11,24,4,1,9,0,1,44,3,5,26,0,30,90,6,0,0,1,6,0,11,5,3
441,Mortalidad,2019,Castilla-La Mancha,Albacete,227.74,884,11,21,71,164,617,343,541,34,4,136,6,39,2,33,1,10,16,33,1,25,46,8,2,18,1,3,65,9,19,58,2,47,165,17,0,0,5,11,0,47,9,3
442,Mortalidad,2019,Castilla-La Mancha,Ciudad Real,247.9,1229,13,26,126,212,852,469,760,30,5,198,16,87,1,57,2,10,10,41,2,29,56,7,5,19,1,4,79,12,24,90,3,64,244,29,0,0,2,14,0,61,14,4
443,Mortalidad,2019,Castilla-La Mancha,Cuenca,259.26,509,2,15,51,81,360,189,320,19,2,62,7,33,0,17,0,2,6,17,0,14,25,5,1,8,0,1,31,5,8,44,1,40,91,7,0,0,3,6,0,35,5,3
444,Mortalidad,2019,Castilla-La Mancha,Guadalajara,206.0,531,7,12,57,88,367,224,307,18,3,76,10,32,1,24,1,7,8,17,0,10,30,6,1,7,0,2,33,6,7,32,0,29,100,11,0,0,3,8,0,29,9,2
445,Mortalidad,2019,Castilla-La Mancha,Toledo,223.79,1555,20,43,157,271,1064,563,992,47,13,235,29,82,1,76,2,9,15,53,3,42,87,13,8,29,2,4,106,17,27,98,1,96,295,34,0,0,3,13,0,83,18,4
446,Mortalidad,2019,Cataluña,Barcelona,220.16,12471,139,411,1269,2399,8253,5013,7458,371,68,1749,217,559,23,677,29,127,135,395,27,355,777,123,51,249,22,49,1115,71,214,884,9,623,2523,251,3,1,29,131,4,451,124,25
447,Mortalidad,2019,Cataluña,Girona,219.57,1693,18,65,177,351,1082,627,1066,54,10,235,41,66,3,72,4,17,29,44,4,63,104,13,9,44,3,6,130,6,26,106,1,93,339,24,0,0,5,13,0,96,20,4
448,Mortalidad,2019,Cataluña,Lleida,232.68,1012,9,32,114,188,669,388,624,19,8,148,22,57,1,52,1,9,11,34,2,24,58,10,3,16,1,2,96,5,11,86,0,54,175,28,0,0,4,8,0,40,14,5
449,Mortalidad,2019,Cataluña,Tarragona,224.07,1803,13,63,177,340,1210,721,1082,48,13,257,30,63,3,100,4,18,16,49,4,54,107,16,5,37,3,7,159,10,31,127,2,98,369,37,0,0,7,18,1,79,19,5
450,Mortalidad,2019,Ceuta,Ceuta,141.55,120,4,5,17,27,67,48,72,3,5,17,4,5,0,0,0,3,0,3,0,3,5,2,0,2,0,1,12,1,3,2,0,11,23,1,0,0,0,3,0,4,0,0
451,Mortalidad,2019,Comunitat Valenciana,Alicante/Alacant,221.39,4115,45,141,465,824,2640,1596,2519,100,23,586,74,160,7,191,11,48,56,95,6,90,250,46,19,65,8,19,420,29,65,312,3,244,811,80,1,0,12,46,2,178,32,14
452,Mortalidad,2019,Comunitat Valenciana,Castellón/Castelló,237.43,1377,27,55,160,262,873,510,867,45,10,193,29,68,1,53,2,7,17,44,2,28,80,10,4,18,1,3,135,6,31,81,2,73,302,20,0,1,4,20,0,58,14,3
453,Mortalidad,2019,Comunitat Valenciana,Valencia/València,230.67,5917,67,206,649,1175,3820,2303,3614,168,41,824,100,247,10,302,15,60,64,174,9,132,363,40,28,94,12,24,513,35,116,385,2,319,1252,125,1,0,15,66,1,296,63,11
454,Mortalidad,2019,Extremadura,Badajoz,261.45,1761,16,56,209,352,1128,645,1116,41,6,264,37,105,3,60,4,19,16,60,2,36,110,8,7,25,3,8,180,11,36,99,2,95,373,40,0,0,4,16,0,64,11,5
455,Mortalidad,2019,Extremadura,Cáceres,280.86,1107,1,22,115,223,746,402,705,32,6,184,14,47,1,42,1,8,14,37,1,24,58,9,3,16,1,3,112,7,16,57,1,52,257,25,0,0,2,11,0,43,11,2
456,Mortalidad,2019,Galicia,"Coruña, A",291.27,3261,30,82,317,652,2180,1263,1998,94,31,460,58,161,5,156,9,32,36,102,7,92,175,28,13,63,6,14,320,20,61,211,2,178,636,80,0,0,10,32,1,110,38,9
457,Mortalidad,2019,Galicia,Lugo,330.41,1089,8,21,85,178,797,454,635,24,2,164,13,55,1,58,2,9,9,45,2,30,60,9,6,21,1,4,111,10,19,65,0,79,177,25,0,0,2,13,0,49,7,5
458,Mortalidad,2019,Galicia,Ourense,374.13,1151,4,13,88,180,866,465,686,28,4,173,16,71,1,47,3,12,8,40,2,31,59,7,3,22,2,5,114,8,23,75,1,84,196,11,0,0,8,8,0,58,17,3
459,Mortalidad,2019,Galicia,Pontevedra,274.12,2584,22,72,268,501,1721,1023,1561,71,15,358,50,140,3,132,5,22,30,72,6,78,165,20,11,53,4,9,250,11,46,153,4,162,494,55,0,0,5,25,1,81,34,8
460,Mortalidad,2019,"Madrid, Comunidad de",Madrid,196.34,13083,145,434,1323,2597,8584,5632,7451,396,74,1807,163,650,21,626,25,120,114,479,26,364,816,136,49,258,19,43,1305,70,284,930,13,662,2649,205,3,2,37,122,6,411,148,40
461,Mortalidad,2019,Melilla,Melilla,146.84,127,3,6,26,32,60,57,70,2,3,13,3,4,0,8,0,2,0,2,0,2,12,0,0,1,0,1,7,0,3,11,0,8,29,5,0,0,0,1,0,3,0,0
462,Mortalidad,2019,"Murcia, Región de",Murcia,191.91,2867,39,104,326,586,1812,1110,1757,81,26,399,44,113,5,133,8,32,42,85,6,84,163,40,10,59,6,13,305,17,53,174,3,149,577,45,0,0,8,37,1,107,24,10
463,Mortalidad,2019,"Navarra, Comunidad Foral de",Navarra,230.2,1506,14,39,152,287,1014,609,897,65,3,212,22,85,3,61,3,19,24,39,3,40,84,25,8,29,2,5,131,11,25,105,2,77,283,39,0,1,5,12,0,46,24,4
464,Mortalidad,2019,País Vasco,Araba/Álava,248.53,824,8,15,75,167,559,314,510,24,2,97,14,45,1,52,1,7,12,24,1,22,40,10,4,15,0,3,69,6,17,55,0,53,169,13,0,0,1,10,0,29,16,2
465,Mortalidad,2019,País Vasco,Bizkaia,296.19,3414,22,76,326,655,2335,1348,2066,117,24,469,79,157,7,181,8,39,45,95,7,96,162,37,17,68,6,14,238,20,63,227,2,189,744,71,0,1,11,28,2,128,39,14
466,Mortalidad,2019,País Vasco,Gipuzkoa,256.23,1854,17,57,200,420,1160,772,1082,58,9,246,41,98,3,87,5,22,9,55,3,57,100,21,9,41,3,9,160,18,34,121,4,96,349,57,0,0,4,19,1,82,18,4
467,Mortalidad,2019,"Rioja, La","Rioja, La",257.89,817,9,29,77,143,559,332,485,26,1,121,21,46,1,28,2,8,14,25,1,25,50,10,3,17,1,4,77,4,13,56,0,40,140,13,0,0,0,10,0,36,13,1
468,Mortalidad,2020,Andalucía,Almería,175.97,1281,27,50,165,279,760,491,790,26,13,185,20,46,2,46,3,12,21,36,3,41,90,13,6,26,2,5,145,9,22,63,2,70,255,15,0,0,4,13,0,58,14,4
469,Mortalidad,2020,Andalucía,Cádiz,216.23,2690,32,78,375,601,1604,1021,1669,60,13,358,44,113,4,121,6,28,42,80,5,62,189,23,9,40,5,12,296,16,43,168,3,110,565,63,0,1,6,29,1,121,33,7
470,Mortalidad,2020,Andalucía,Córdoba,224.33,1753,19,49,217,336,1132,712,1041,46,12,290,24,69,3,83,3,16,20,57,3,37,105,10,5,24,3,7,167,9,30,113,1,87,322,53,0,0,8,22,0,92,16,5
471,Mortalidad,2020,Andalucía,Granada,209.97,1930,27,69,220,391,1223,751,1179,51,9,277,21,62,3,108,4,17,31,67,3,40,105,28,7,27,4,7,191,15,33,130,1,97,400,41,0,1,7,21,1,85,23,4
472,Mortalidad,2020,Andalucía,Huelva,221.83,1163,21,44,138,265,695,444,719,32,8,201,16,36,1,57,2,10,20,27,2,30,80,11,4,19,1,4,95,11,26,76,2,58,225,24,0,0,4,9,0,49,11,1
473,Mortalidad,2020,Andalucía,Jaén,213.18,1346,15,37,161,240,893,549,797,31,11,230,18,59,2,52,3,16,16,43,2,32,85,13,5,20,2,5,156,11,14,74,3,75,228,34,0,1,4,13,0,56,18,4
474,Mortalidad,2020,Andalucía,Málaga,196.57,3314,42,131,388,747,2006,1284,2030,95,22,441,67,117,6,166,8,35,49,91,7,84,226,33,14,54,7,14,346,21,67,186,2,151,713,72,0,1,8,38,1,112,40,10
475,Mortalidad,2020,Andalucía,Sevilla,210.08,4097,52,144,511,914,2476,1592,2505,102,24,573,79,152,7,187,10,44,56,109,9,103,259,36,14,65,8,18,432,16,73,285,6,215,826,90,0,0,14,48,3,164,47,15
476,Mortalidad,2020,Aragón,Huesca,281.11,626,3,11,57,116,439,235,391,23,2,92,11,27,1,31,1,6,3,21,1,15,24,3,1,10,0,2,52,5,10,50,1,42,112,18,0,0,2,9,0,33,6,2
477,Mortalidad,2020,Aragón,Teruel,271.29,364,2,6,28,64,264,144,220,14,1,67,6,20,0,13,1,5,5,14,0,11,23,2,0,7,0,2,27,2,9,16,0,26,54,5,0,0,3,3,0,13,5,0
478,Mortalidad,2020,Aragón,Zaragoza,262.1,2549,27,60,250,516,1696,1021,1528,86,16,398,26,106,2,96,3,16,22,83,5,61,167,33,11,39,2,6,168,21,32,173,3,133,544,58,0,0,7,29,1,156,27,7
479,Mortalidad,2020,"Asturias, Principado de",Asturias,339.62,3460,33,77,301,717,2332,1411,2049,99,27,467,66,145,5,175,7,29,37,102,6,83,213,30,10,57,4,12,254,24,71,240,2,214,739,79,0,1,11,47,2,145,38,10
480,Mortalidad,2020,"Balears, Illes","Balears, Illes",189.41,2219,34,77,260,487,1361,931,1288,77,28,335,43,90,4,107,5,25,24,82,4,51,146,16,6,34,4,9,164,10,43,148,0,99,487,32,0,0,5,17,1,90,16,7
481,Mortalidad,2020,Canarias,"Palmas, Las",204.32,2311,48,97,285,515,1366,927,1384,58,21,267,46,78,5,93,7,28,43,49,6,71,164,38,7,46,5,12,199,14,38,174,4,130,508,37,0,2,7,20,1,91,24,6
482,Mortalidad,2020,Canarias,Santa Cruz de Tenerife,205.48,2147,30,74,260,485,1298,873,1274,61,23,266,39,62,5,103,6,30,22,62,7,77,162,24,9,47,4,10,205,10,36,146,1,116,453,30,0,0,7,18,1,62,26,6
483,Mortalidad,2020,Cantabria,Cantabria,276.2,1610,15,46,147,337,1065,672,938,49,9,210,29,63,4,76,5,22,22,40,2,38,88,10,8,26,3,9,152,9,21,105,2,83,342,36,0,1,4,25,0,84,19,3
