Unidad Territorial;Tasa total;Dimension total;0-39;40-49;50-59;60-69;+70;Mujer;Hombre;Cerebro;Cervix;Colorectal;Esofago;Estómago;Glándulas salivares;Hígado;Hipofaringe;Labio, cavidad oral;Laringe;Leucemia;Linfoma Hodgkin;Linfoma No-Hodgkin;Mama;Melanoma de piel;Mesotelioma;Mieloma Multiple;Nasofaringe;Orofaringe;Otros;Otros de piel;Ovario;Páncreas;Pene;Próstata;Pulmón;Riñón;Sarcoma Kaposi;Testículo;Tiroides;Utero;Vagina;Vejiga;Vesicula Biliar;Vulva
"León";"334,99927174071365";"1541";"5";"42";"134";"271";"1089";"585";"956";"36,4527041190651";"12";"227";"27";"87";"1,7718803574463";"53";"2,79463110947772";"9,60173882168944";"14";"53";"2,79712104173858";"38,8857389447121";"81";"18";"9,05799044788319";"30,3171400135493";"1,64819962725585";"4,12580240743832";"121,3260408941";"7,46114661199667";"21";"90";"1,875";"120";"326";"34,8087573619524";"0,418949147674996";"0";"2,99617440519862";"22,5532320262792";"0,64243592718877";"59";"19,2161304764201";"4,2491862589333"
"Lugo";"330,413517523446";"1089";"8";"21";"85";"178";"797";"454";"635";"24,2662504507753";"2";"164";"13";"55";"1,96925438384178";"58";"2,73059010284702";"9,89065929662509";"9";"45";"2,20841286999749";"30,2455269688491";"60";"9";"6,72457996766894";"21,5460601611534";"1,75899680872039";"4,49151641902283";"111,271577508975";"10,3317162913006";"19";"65";"0,904761904761905";"79";"177";"25,6789715728263";"0,42453157933491";"0,841269841269841";"2,36560496957994";"13,5134610137078";"0,71725084415596";"49";"7,21309854640294";"5,90590849818289"
"Ciudad Real";"247,90171070334296";"1229";"13";"26";"126";"212";"852";"469";"760";"30,3679540632548";"5";"198";"16";"87";"1,54886800835154";"57";"2,53993282143882";"10,0110562873577";"10";"41";"2,49657905544389";"29,2735248888327";"56";"7";"5,4012147934562";"19,2298960557234";"1,88618219740772";"4,0125756476872";"79,4813176470095";"12,7360439834363";"24";"90";"3,33939393939394";"64";"244";"29,3539978850089";"0,478542294456384";"0,560606060606061";"2,73336809262671";"14,7536950976102";"0,606408404413264";"61";"14,1570100746284";"4,03183270185646"
"Palmas, Las";"194,5723246751624";"2180";"27";"91";"285";"508";"1269";"870";"1310";"61,9322181215474";"26";"247";"43";"85";"5,71809361135893";"100";"9,16237753347155";"32,9026440881711";"30";"64";"3,85866168167035";"53,461092340668";"150";"26";"5,78536203040713";"37,6802459776617";"6,70180717787111";"14,8088524322338";"209,430603738585";"12,4927375909389";"35";"155";"2,15604395604396";"113";"469";"32,8405886309563";"0,66762550920225";"0,524175824175824";"8,8832743572592";"24,6877298880062";"0,518299031771517";"82";"28,7001729101503";"2,08739356784898"
"Segovia";"278,1968144505613";"426";"3";"8";"36";"67";"312";"166";"260";"15,2068965517241";"2";"78";"7";"19";"1,16749463782804";"22";"1,14564747038484";"6,09576057792875";"0";"7";"0,759862259006119";"11,4453385502783";"23";"2";"1,21228492154447";"8,79479919071553";"1,01527554972066";"2,01838128105893";"46,5804383541667";"2,01996275339142";"3";"16";"1,90833333333333";"27";"82";"8,45503707339545";"0,0350723622782446";"0,755555555555556";"1,14655172413793";"5,97511279344224";"0,079136690647482";"14";"7,57154757809486";"0,611510791366906"
"Asturias";"338,1892843175596";"3459";"25";"76";"310";"732";"2316";"1417";"2042";"97,0763336584245";"30";"515";"52";"147";"6,38849638368459";"156";"9,37411204615638";"36,9166174819663";"41";"108";"6,69337514159177";"93,7588216015938";"195";"27";"16,8021265286725";"69,5478032568144";"6,7163301192154";"15,2132903217708";"253,894264011318";"29,1493711229513";"62";"267";"6,94747474747475";"170";"684";"90,3349658598662";"0,948916201952821";"1,75050505050505";"6,41060999303038";"53,4485906059379";"1,86634713022254";"147";"42,8526604246019";"11,9089883122484"
"Cáceres";"280,8568289817862";"1107";"1";"22";"115";"223";"746";"402";"705";"32,341214757363";"6";"184";"14";"47";"1,26806893465784";"42";"1,97804763403739";"8,45017007028051";"14";"37";"1,76877750748713";"24,3848948520652";"58";"9";"3,02083555717154";"16,8463276404476";"1,90518061353296";"3,42893170030295";"112,220385943311";"7,89911512830969";"16";"57";"1,78409090909091";"52";"257";"25,708540218893";"0,158166991434255";"0,0454545454545455";"2,26340844775181";"11,0428112149678";"0,584153413055509";"43";"11,1427559383833";"2,75866798200236"
"Ávila";"290,5353971073332";"458";"3";"14";"32";"64";"345";"169";"289";"13,5301802746043";"2";"69";"9";"23";"0,674170201245007";"20";"0,810211799348901";"4,12988555492495";"7";"20";"0,865931501374019";"11,9429327548049";"24";"4";"1,99473787158224";"9,19113574382109";"0,611289240695393";"1,39435848474822";"44,735986586367";"3,76940638089496";"5";"26";"0";"30";"90";"6,38620932257183";"0,269284773197817";"0";"1,91099465464836";"6,19849775852109";"0,742486746388842";"11";"5,09196570159201";"3,75033464866902"
"Albacete";"227,73703071100843";"884";"11";"21";"71";"164";"617";"343";"541";"34,8521754113685";"4";"136";"6";"39";"2,02058499041715";"33";"1,91901724257615";"10,2940171434701";"16";"33";"1,9277298382447";"25,4809028669976";"46";"8";"2,19390304693019";"18,5913672947577";"1,33907202198043";"3,55668489141565";"65,1372776400691";"9,37220979773608";"19";"58";"2,72703962703963";"47";"165";"17,1051383399209";"0,23644180724181";"0,150582750582751";"5,15512224384107";"11,829297790196";"0,461704753843984";"47";"9,17229715393071";"3,4774333474397"
"Ceuta";"141,54782547153118";"120";"4";"5";"17";"27";"67";"48";"72";"3";"5";"17";"4";"5";"0,706938669146745";"0";"0,893631341380007";"3,81220698364543";"0";"3";"0,258403824753342";"3,18027048661976";"5";"2";"0,2138540899042";"2,5613256886269";"0,905137991587922";"1,53147517105436";"12,5124802012747";"1,03507737656595";"3";"2";"0";"11";"23";"1,10909090909091";"0,0347826086956522";"0";"0,451612903225806";"3,13345534417195";"0";"4";"0,66025641025641";"0"
