Unidad Territorial;Tasa total;Dimension total;0-39;40-49;50-59;60-69;+70;Mujer;Hombre;Cerebro;Cervix;Colorectal;Esofago;Estómago;Glándulas salivares;Hígado;Hipofaringe;Labio, cavidad oral;Laringe;Leucemia;Linfoma Hodgkin;Linfoma No-Hodgkin;Mama;Melanoma de piel;Mesotelioma;Mieloma Multiple;Nasofaringe;Orofaringe;Otros;Otros de piel;Ovario;Páncreas;Pene;Próstata;Pulmón;Riñón;Sarcoma Kaposi;Testículo;Tiroides;Utero;Vagina;Vejiga;Vesicula Biliar;Vulva
"León";"2374,453693019899";"10837,9326918831";"254,949608578921";"520,917767361775";"1425,11212498976";"2457,8695411689";"6179,0836497838";"4647,01454997815";"6190,918141905";"148,169950721869";"62,0933581855214";"1585,19350925585";"33,5207551621462";"142,879802883436";"24,4253804630854";"79,9184469153019";"22,9092755564957";"192,694677421698";"115,488581281489";"208,517713536039";"48,8866973575528";"310,992427331334";"1579,5498246388";"228,674018208613";"9,00751012915673";"111,145200592902";"15,8646253448313";"42,9674694285326";"255,324076876745";"1470,52087238005";"115,89758493094";"73,6694531209743";"22,4994622249812";"1775,27014463827";"437,696484351723";"308,059985684025";"11,2626896520765";"40,8129108058749";"198,861546302115";"306,945192188152";"5,44437230453689";"801,97716825619";"9,81606544762063";"40,9754583042147"
"Lugo";"2478,993878802544";"8129,76126577779";"185,678184131647";"371,597036573347";"970,45893855427";"1732,24195637062";"4869,78515014791";"3419,85433701681";"4709,90692876098";"107,993211162087";"44,9855175825003";"1195,81606296283";"24,6736511231478";"107,736026721773";"18,1666727634044";"59,1180950811798";"16,5048688384643";"144,19091529936";"84,8373986473958";"155,834699926885";"35,1737027637404";"229,401884888021";"1148,85372163607";"169,05471507242";"6,72283287999827";"83,7251160532476";"11,409943661141";"30,9456166022935";"190,310002908102";"1153,09780394289";"84,2711331891774";"54,736282519671";"17,1698001655481";"1346,64934626275";"322,780481655552";"228,342169144217";"8,45313246114927";"29,3730290470322";"142,537139133446";"224,284983539921";"4,05149966674654";"610,767185783133";"7,47828689297715";"30,3143357995232"
"Ciudad Real";"1884,8787830703247";"9330,99817165049";"328,626988310965";"570,651485249645";"1460,64834667413";"2132,79918944678";"4838,27216196897";"4091,76940998238";"5239,22876166811";"139,686538427463";"61,7798972212215";"1327,64434926236";"29,7393493621505";"120,481590381395";"21,446017608979";"70,3632277356611";"21,0935330469706";"163,993232440069";"101,91658665859";"186,744787586164";"54,3732821007811";"281,023133481576";"1444,42393263172";"209,375921180493";"7,87963506440292";"93,764033836852";"15,8350973377509";"38,627770542612";"228,106697523499";"1132,26684503991";"107,149339567393";"64,0920984500546";"18,9823110974243";"1489,33546832092";"384,693254142948";"272,810540240712";"10,2869485327452";"49,6926365681307";"200,562877594894";"270,446929274137";"4,68532335982877";"664,179305673422";"8,10494538578049";"35,410734971476"
"Palmas, Las";"1589,4470220655664";"17977,6789601259";"827,097894749646";"1564,6709614911";"3481,32624174695";"4605,74538657014";"7498,83847556806";"8031,45595907337";"9946,22300105253";"297,819080020706";"143,893699817314";"2450,95587681606";"61,6423857356531";"225,017300094731";"41,9491717504446";"141,496032721055";"46,5529440201955";"312,010545052112";"210,908425824969";"363,24414007799";"129,518030022507";"576,927540713833";"3034,8701875284";"436,447487377777";"15,8523915848379";"174,26844729019";"36,5511033801131";"82,8391853321146";"447,671088140726";"1706,43945059939";"226,337341086292";"126,228773932328";"35,7114226308509";"2862,80244446089";"783,30102271042";"552,325279068922";"21,0519960412606";"124,324662027568";"471,778540504389";"531,723673659836";"8,64161830316942";"1214,10321192103";"14,3033955027479";"68,1710643750701"
"Segovia";"2088,5447036361757";"3205,45664024673";"92,6175402937695";"177,897771215733";"470,79948643521";"719,135505866083";"1745,00633643593";"1340,45544707427";"1865,00119317246";"45,6266836697742";"19,1990107707272";"463,930882146789";"10,2090752234292";"42,0014625823864";"7,33100725639173";"24,182953778867";"7,20402101885445";"57,0643741156048";"35,3134711390616";"63,2090387404903";"16,6727050498814";"93,777352583343";"463,702132860189";"69,5175505299773";"2,67499049552748";"32,4387770409025";"5,15410680723463";"13,1494997633394";"77,3541821921418";"419,834483586255";"33,9917515895194";"21,709777351404";"6,78068054710627";"528,950853108241";"131,163284884327";"93,1973150403171";"3,48273709591868";"14,7104485777494";"62,5482828847645";"86,9296774552594";"1,56189118345943";"236,217182640037";"2,80157534299242";"11,8634211944664"
"Asturias";"2257,088853232285";"22994,860102514";"569,691339057281";"1286,22583540406";"3125,479406715";"5704,15757732572";"12309,3059440119";"10298,0834459858";"12696,7766565282";"328,261435892094";"143,438740968662";"3316,78705982393";"72,5627614447178";"299,571482162044";"51,5383606215808";"171,132928488584";"50,1947018369078";"405,956675249196";"248,097967697856";"442,310693239703";"109,056545370745";"678,250198351094";"3581,11656733706";"496,405273890101";"19,634751134259";"234,746968901295";"35,0905072568767";"95,1811622969411";"541,836460976052";"2823,36592976444";"264,749311758852";"159,994030980425";"45,6927437957261";"3725,31362391397";"951,72618229876";"661,273665062236";"23,8044057256048";"91,7653108588483";"458,850122578794";"696,512040276954";"11,7348744672929";"1649,26256937647";"20,6276146763709";"89,016434039522"
"Cáceres";"2114,008311422876";"8283,74156831054";"239,976108793858";"437,406122368038";"1238,23624259203";"1928,91919359787";"4439,20390095875";"3533,7853003533";"4749,95626795725";"118,579412314617";"50,3563607041626";"1196,2867097319";"26,4398375900536";"108,268570611793";"18,909912977136";"62,6095685659625";"18,5931440772923";"147,046445305672";"91,3403886678568";"162,240219819581";"42,7331260090556";"243,536995741042";"1226,41701472324";"179,713662749568";"6,98000834494892";"84,2095475776952";"13,2565610516582";"34,3986735880371";"198,581163598441";"1051,10595392338";"90,4602097215811";"56,7660023800962";"17,2262311659637";"1362,97454701388";"342,407854160877";"240,773594759608";"8,85296067320482";"37,2573637901312";"163,897437944273";"233,603068594736";"4,10440069478997";"605,645352463593";"7,30717903266815";"30,862088242056"
"Ávila";"2308,8438826911533";"3640,21561920618";"89,0424669147461";"174,691450279044";"484,24275873836";"801,766014089141";"2090,47292918489";"1474,36283894425";"2165,85278026194";"49,4999888632463";"20,0835757133229";"532,430018243829";"11,4665857149832";"48,0863868761706";"8,21025974997936";"27,2222505621886";"7,91010753551112";"64,6844448808022";"39,8429112299075";"70,7007400985086";"16,9457087177612";"103,759774758209";"502,833692407695";"76,269552168938";"3,04868074067329";"37,2023652470064";"5,43692978933809";"14,645587502568";"86,2025344654341";"498,312971726109";"36,8834497737013";"24,5292903961752";"7,87661403005526";"619,750342682965";"148,335694963867";"104,38637392858";"3,85357999408523";"14,2833833998611";"65,4410085944104";"96,6091842689686";"1,72780744780945";"275,493310976167";"3,23328876455779";"13,0172229927991"
"Albacete";"1843,175422509728";"7156,49721297852";"257,713313351098";"467,554702265247";"1153,57828649817";"1607,65546010718";"3669,99545075682";"3088,34928632739";"4068,14792665113";"107,953692559947";"48,0407189053775";"1013,36802552683";"22,979066682697";"92,1598164198085";"16,4819389320072";"54,1952922574751";"16,4302469114539";"125,359673672775";"78,8563339711843";"143,646407210582";"42,8473998679525";"216,32587541007";"1102,66459404312";"161,684057021932";"6,05810795248224";"71,4406520026729";"12,4327656307377";"29,7176606393964";"175,376091101795";"860,541026810523";"81,7296954201765";"48,9474059506017";"14,7907286713145";"1150,69991203001";"296,005926718992";"210,646191046387";"8,00333040236163";"39,7316203226277";"156,661591882259";"203,436731798468";"3,52037207776969";"510,894981840973";"6,1309178543619";"26,7383634313945"
"Ceuta";"1320,094388127586";"1111,54587669119";"65,3355430484463";"94,3027398324516";"219,988742856494";"300,44214207916";"431,476708874634";"497,580152640638";"613,965724050548";"19,571836632249";"9,03334220501144";"150,085243870956";"3,8722251277881";"13,8085381939894";"2,6525524317555";"8,95234567166563";"2,95447910609452";"19,3896585818623";"13,2575092200294";"24,2971738745284";"9,29053428425102";"36,6091370342252";"185,804355082708";"27,6623203186523";"0,981722388544854";"10,7287726850243";"2,41257123766196";"5,28596753443853";"29,4483731491052";"99,9675096377329";"14,0297458440008";"7,82407756555499";"2,18676424328779";"175,154572684456";"48,7184439938422";"34,8218942691334";"1,35585636974071";"9,05451398073178";"30,1945038022747";"32,6045472825611";"0,545929368476617";"73,9422239097258";"0,869976489544098";"4,1766586195828"
"Huesca";"2040,4313865397799";"4543,77544174384";"139,383708277647";"262,456506657129";"639,570228645018";"1031,31260752268";"2471,05239064137";"1893,46982505903";"2650,30561668481";"65,2558414379517";"27,547900314804";"654,979005265916";"14,4794529890607";"59,3283031693406";"10,3448206003645";"34,1802901901511";"10,162750376047";"80,454116713147";"49,8854420556915";"90,002685158028";"24,2888461685832";"133,676642711208";"658,018657479698";"99,0501699166574";"3,83749180966218";"45,8757305404033";"7,38592601355313";"18,6106941819363";"109,943234582177";"588,159990318668";"48,5010006630408";"30,8048502608229";"9,6119230581105";"752,966727016181";"186,023247522528";"132,27033265205";"5,0163457483925";"22,2150401500918";"89,9164467667131";"123,868518104133";"2,17562160688463";"334,386561246111";"3,9539272502697";"16,5969077054628"
"Alicante/Alacant";"1836,8153731087862";"34530,0717812273";"1256,22125062438";"2347,35111622452";"5284,98293285077";"8492,92854363781";"17148,5879378898";"14914,0184586394";"19616,0533225879";"528,113669301057";"237,356070058848";"4846,42221483872";"113,670235194461";"441,788131943355";"78,2786451451469";"264,405231392111";"81,200051740949";"599,473121897089";"389,243321196945";"690,217392921193";"206,278610634071";"1053,79436075283";"5406,59870893979";"779,128000788702";"30,4812233427332";"345,258730491552";"60,2769482238763";"149,57911131632";"838,698739638844";"3787,60743125492";"404,547364938407";"240,97116354486";"70,494751895694";"5753,0848876662";"1471,10685643159";"1024,78968417758";"38,1435413937078";"189,168244632178";"775,034783683083";"1010,14863083151";"16,6110997726212";"2452,64543440829";"29,3973949268123";"126,057991911258"
"Coruña, A";"2152,2896852177228";"24144,7085322252";"678,23863093645";"1440,39243512716";"3229,96909547892";"5501,50900783868";"13294,5993628439";"10722,8183324335";"13421,8901997917";"346,128094321982";"154,327321669617";"3468,77489289071";"75,3854238756883";"314,188116565058";"54,0854251199889";"178,402787794497";"51,8522148499181";"423,742732611971";"256,608254602594";"469,793160296573";"120,902491422754";"711,997645449524";"3740,08199278293";"525,716598435757";"20,5608982582431";"245,56485850924";"37,3167279028123";"96,8265652388939";"573,263358680337";"3003,63384132938";"276,63227606378";"166,748428454252";"48,529940556475";"3908,70788653636";"986,348303474388";"692,85627359848";"25,5320049914018";"105,215189471276";"489,62214775604";"715,520061410958";"12,3169217720317";"1732,67969130699";"21,7333891537691";"93,1126150704841"
"Santa Cruz de Tenerife";"1688,1786218441898";"17639,5589564291";"750,353501195404";"1414,80015297505";"3141,7990041196";"4387,44859638792";"7945,15770175114";"7930,16866887013";"9709,39028755896";"283,099295636293";"135,673802937009";"2432,28863997285";"58,8612327938552";"222,575878503797";"40,7537369491498";"136,126935242151";"43,3917042675296";"306,126176687617";"200,79883269842";"353,332761654142";"118,601795247943";"555,426105869507";"2939,79346457653";"418,614758046628";"15,414036060248";"173,026241203459";"33,7072728821559";"78,174095977796";"434,232662697545";"1796,06495823845";"219,176357121709";"123,373586797595";"34,9413386338267";"2804,34798916964";"754,80846678692";"531,640831661901";"20,1512407990237";"112,152120821491";"440,432668851667";"526,845441988589";"8,7074707366551";"1204,80618675333";"14,5373551474229";"67,55351301626"
"Palencia";"2280,9030963635764";"3656,76665312105";"91,6873234329213";"176,556553319718";"503,717542820331";"913,555147772708";"1971,25008577537";"1541,15774895528";"2115,60890416577";"51,1325480490073";"21,0589733963249";"531,900877449098";"11,7892310244578";"48,0424966208556";"8,26870943999286";"27,6952051811958";"8,22767715964676";"65,2642871412178";"40,8567154286883";"70,606268046995";"17,3420824991707";"106,291744856606";"529,110594189685";"77,5730686251092";"3,13375150107543";"37,4071033198272";"5,62822545258419";"15,5084458975598";"86,4569099311815";"463,189461445142";"38,9542490395975";"25,1816300554374";"7,62264232226774";"620,458027583701";"152,903426619987";"105,990526076975";"3,82246554107211";"14,6676440573191";"68,8094388771206";"102,672623834495";"1,78431137791133";"270,721548597294";"3,23661890449561";"13,4571235779573"
"Zamora";"2618,4485611658674";"4466,75903152163";"88,070090798773";"178,817375087826";"525,564340970882";"943,927552874416";"2730,37967178973";"1816,48432250829";"2650,27470901334";"57,9549615232045";"22,7914197600555";"662,74562305591";"13,6558046728147";"59,6583737854744";"9,99086024886701";"32,741590388963";"9,13059162003175";"79,6925764616447";"47,3076015779942";"85,2023174707217";"18,2425738341991";"124,370899116261";"602,686768235789";"90,8935101080726";"3,69750571981298";"46,3269244092716";"6,10980363613273";"17,1349924023738";"104,016169817463";"649,752397774425";"44,1650461288454";"29,9893113993184";"9,6780421279135";"757,909181806935";"178,231347461915";"125,553914938002";"4,6074766921049";"14,7902688647338";"73,3771937868268";"119,552256342369";"2,17028269135951";"342,380189469409";"4,11708866127874";"16,1341655311353"
"Barcelona";"1745,8311263610137";"100270,099828041";"4035,33955687844";"7423,6094580838";"15129,6851963709";"23244,992147723";"50436,4734689851";"45493,9863329238";"54776,1134951175";"1556,18949524989";"727,873676098481";"14046,0615857737";"319,45418347173";"1279,25597604702";"229,152964173501";"750,546584733215";"226,947947106863";"1744,66300274127";"1080,01504589199";"2029,50032624575";"633,981853080284";"3085,99788140577";"16307,5707912547";"2320,77469353333";"85,7192868589411";"995,542036061799";"177,21132600127";"413,571471216006";"2476,02187933674";"11430,4062490116";"1214,07796931533";"693,248477319552";"197,652680541837";"15690,9535987872";"4125,63872486046";"2942,68382268258";"113,167655878337";"595,561612207998";"2328,59571711876";"2995,11628068722";"51,0050829120863";"6927,77917950964";"86,3820482981514";"391,77872262814"
"Murcia";"1558,1427789022473";"23547,448327588";"1104,5294805142";"1907,61537120163";"4013,11089989044";"5595,50405833129";"10926,6885176505";"10509,9846985118";"13037,4636290762";"383,634047408015";"179,386952996834";"3246,99767360972";"77,4537428252455";"297,180848036758";"54,6287726222673";"180,721704957494";"56,7172034320768";"408,712268445241";"262,928219057513";"490,411722959256";"166,926045405244";"743,564492727698";"3856,92106777225";"561,464798550094";"20,3575387516657";"230,351732283691";"45,4630622327075";"101,453266539147";"596,902334464041";"2503,16214963242";"287,887043140325";"162,873742358792";"46,9746075706254";"3694,75927327606";"987,50963814501";"709,463055130459";"27,7404784160647";"162,393172592788";"583,868270763331";"687,984694985647";"11,655484639604";"1609,57831155587";"19,4491057683119";"89,9718045357329"
"Soria";"2278,9469393291592";"2025,61919755333";"51,1688963109207";"96,9511028443975";"271,951117607102";"429,797047132081";"1175,75103365883";"816,843750822503";"1208,77544673083";"27,4789511250676";"11,067858676033";"297,234794172487";"6,33075899949955";"26,8295038640489";"4,6070947303804";"15,0832541713355";"4,37394633537417";"36,176608353476";"21,9867205896533";"39,5492792198618";"9,59440676132256";"57,6154704101977";"276,206854714806";"42,6052653083864";"1,6721844340487";"20,6450162130931";"3,05467846891193";"8,00345850869468";"48,3235179418723";"286,055445600141";"20,1671506277502";"13,5174727940734";"4,41681669229499";"340,86053265736";"81,4728093123076";"58,021953515469";"2,17340672423568";"8,23229550242837";"36,0597649085961";"52,6045688133703";"0,960396035485782";"153,544952386543";"1,79602808755173";"7,29598089717306"
"Cantabria";"2004,0815449560048";"11681,8915296258";"359,574550179394";"748,809194557863";"1715,02377279857";"2952,01230000755";"5906,47171208236";"5214,99250932211";"6466,89902030364";"173,759548415824";"77,9414854234222";"1661,76227694694";"37,6006447254215";"150,67509819568";"26,4343318500028";"88,1171409133725";"26,6021335679479";"205,430741008089";"128,619971291893";"229,611482446846";"62,9225575205142";"351,85816252103";"1848,26123950385";"259,861195739109";"10,0512993681493";"117,598959239368";"19,2664002160087";"49,654060846629";"280,878304275684";"1360,5113499141";"136,83283400128";"81,223237029464";"23,242334807794";"1887,66061718882";"488,592012103179";"341,634078059698";"12,520459049277";"55,4779244913802";"250,603619699609";"348,908739491364";"5,87300234878878";"826,718140134597";"10,1682895325741";"45,0178577580415"
"Castellón/Castelló";"1814,3864526559369";"10624,8656281079";"387,954750693448";"755,816655847433";"1654,97955758443";"2516,40185212255";"5309,71281186002";"4621,29296629979";"6003,57266180809";"162,800767876565";"73,688005452723";"1494,41603434524";"34,6813321329253";"136,207131450089";"24,233799867865";"81,0267085476624";"24,9004573900389";"185,603088356398";"118,503978788907";"213,615996114012";"64,0619662982751";"324,550764435744";"1666,82359119341";"241,681755448773";"9,20478580417325";"105,853598307797";"18,7170475510242";"45,2662414565639";"260,236538014032";"1206,27717822395";"123,87152650505";"73,5136115515172";"21,6729863115361";"1730,88461816917";"445,849647320664";"315,229976482945";"11,899943592518";"59,1188990311537";"239,125684790228";"306,464251657608";"5,1900656558783";"750,937666411795";"9,03633240352238";"39,719651168126"
"Bizkaia";"2042,107324036257";"23677,0704210257";"700,52564250707";"1448,50353091948";"3460,08342763426";"5689,78220602442";"12378,1756139405";"10645,6435041676";"13031,4269168581";"349,019382179115";"155,147715280241";"3383,49066840558";"75,2166919084817";"306,567297228503";"53,6111881935153";"177,399380207057";"52,7479316657766";"416,724879279298";"256,640396248";"465,060721952402";"124,727412075123";"709,310455654912";"3742,15033111939";"523,13623722022";"20,1974685811322";"239,698821312958";"38,2023665297197";"98,3458668603879";"568,273232257591";"2827,34578408618";"277,121398351593";"164,583146855996";"47,0158342642145";"3788,54673729608";"980,893307269406";"687,835353917295";"25,1695125701395";"108,839238242607";"498,098138703111";"713,791622872967";"12,1392505985548";"1677,10828836743";"20,9613561056737";"91,953007365038"
